X,Y
بسیار نرم و لطیف بوده و کیفیت بالایی داره.,HAPPY
اصلا رنگش با چیزی که تو عکس بود خیلی فرق داشت,ANGRY
خیلی زیبا و ب اندازه و با دقت طراحی شده,HAPPY
سبزی پلو با ماهی مال عید نوروزه، امشب سوشی میخوریم بجاش? #جاتون‌خالی #HAPPYNEWYEAR2022 ,OTHER
لج بازیو بذار کنار یه فرصت دیگه بهت میدم,OTHER
 بیا چندتا سیل جمعیت نشونت بدم تا دفعه بعدی به 20 25 نفر نگی سیل ,OTHER
دلم میخواد زیبا باشم و دوست داشته بشم:(,SAD
عباس علی‌زاده معروف به «بروس‌لی افغانستان» وارد هالیوود می‌شود! #Federalism #StopHazaraGenocide ,OTHER
امشب راحت میتوان به این موضوع پی برد مگه نه؟ ,OTHER
اگر #گاز دارید، خدا را #شُکر کنید و؛ با #صرفه_جویی در مصرف، به فکر هموطن های شمال شرق کشور باشید. ,OTHER
جای گلوله ای در بدنم درد میکند که به من اصابت نکرده است.#مهسا_امینی,SAD
اصلا کار نمیکنه که نظر هم بدیم که خوبه یا بد,ANGRY
* علم یک واکسن است در مقابل شارلاتان های دنیا که می‌خواهند از جهل شما سو‌استفاده کنند..!!!*,OTHER
حدود ده دقیقه پیش همچین هشداری روی گوشیم اومد! کو زلزله؟ ,OTHER
بلاکم کرد به‌خاطر همین توییت :)))))),OTHER
لطف کنید موجود کنید... واقعا عالیه,HAPPY
قشنگا سال نوتون مبارک با تمام وجود میخوام که 2022سال بهتری باشه و شر کرونا از سر دنیا کم شه.,HAPPY
"عالی 
مکش خوب ،صدا کم حتمآ پیشنهاد میکنم",HAPPY
در مجموع نسبت به قیمتش می ارزه و کیفیت خوبی داره,HAPPY
کمبود گاز باعث قطع ۵۰ درصدی برق صنایع شده است ,OTHER
"بلک بری کی وان که صفحه کلیدش حذف شده 


بی نظیره",ANGRY
یونسکو روز بین‌المللی آموزش را به زنان افغانستان اختصاص داد ,OTHER
 معلوم نیست چی سینوس ملت رو این طوری تحریک کرده. ویروس، آلودگی هوا همه اینا دخیل‌ه,ANGRY
تقدیم به آنان که هم به مردم در سیل و زلزله و... خدمت میکنند و هم زخم زبان میشنوند? ,OTHER
فیلم فوق‌العاده ای است آقای مدیری دستتون درد نکنه,HAPPY
وضع گاز اینطوری پیش بره از چند روز دیگه خوراک لوبیا نذری میدن...,OTHER
فعلا که هم داریم به اوکراین و هم به روسیه سلاح می فروشیم?,OTHER
حالا سیل نیاد بخاطر حجاب تون خانما!?,OTHER
ست 8 پارچه نیست..پوست کن نداره !!,ANGRY
یک عطر خاص و ماندگار جزو عطرهای خوب دنیاست,HAPPY
هیچوقت هیچکس دلش برام تنگ نمیشه، چرا بشه اصا,SAD
من از دی جی  کالا نخریدم ولی خیلی خوب بوده,HAPPY
رهایی تو ای پروانه از پیله مبارک باد... #جانفدا #مشق_عشق ,SAD
دوست خواهرم بهش سفارش کیک داده کیکش ?‍♂️ ,HAPPY
"کیفیت عالی 
جزءیات دقیق
بشدت خوش ساخت",ANGRY
توییتاتون رو پاک نکنید تا دو هفته‌ی دیگه لطفا,OTHER
چنان از شدت سردرد یهویی خوابم میبره که موقع بیدار شدن از مختصات زمان و مکانم خارج میشم,FEAR
خیلی خوب بود.مناسب برای سرو بستنی و دسر.,HAPPY
اعتراضات سراسری به اسرائیل هم رسید #اعتراضات_سراسری_تلاویو,OTHER
فوق العاده ظریف و زیبا. امیدوارم رنگش ثابت بمونه,HAPPY
چه رفاقتای که تو این چند ماه بگا رفت?‍? #مهسا_امینی,OTHER
و اما طالبان عاملان این حمله را نیز در ورزشگاه‌ها در محضر عام مجازات خواهند کرد؟,OTHER
شگفت انگیز که نه مفتم دادن نخرید,ANGRY
اقايون متاهل كه مدعي عاشقي هستيد فرض كنيد همسرتون ي مراسم دعوته كدوم لباس مشكيش رو ميپوشه!؟!؟,OTHER
… از صفحه اینستاگرام عرفان کوشا #مهسا_امینی #IranRevoIution ,OTHER
تری جی هست و ارزش نداره وگرنه میخریدم,ANGRY
ثبت نزدیک به ۱۴۰ بیمار مسموم با گاز در ۲۴ ساعت در هرات #طلوع‌نیوز ,OTHER
میترسم برم دستشویی شرکت آب ساختمون قطع بشه دوباره :)))))))))*,ANGRY
خیلی شیک و خفن بود خیلی خوشم اومد,HAPPY
آذربایجان باشین ساغ اولسون. #خوی #زلزله,OTHER
 سوریه یمن آرژانتین ترکیه سودان افغانستان ایران و خیلی جاهای دیگه,OTHER
کیفیت بالا و قیمت مناسب دیجی کالا,HAPPY
الان فقط چند عدد نون زیر کباب چرب و چیل آرومم میکنه ??,OTHER
مازندران که زلزله نمیاد مازندران دریل میاد لندنی,OTHER
امروز  رسید دستم  خیلی سبک وشیک بود در کلا عالیه,HAPPY
اپوزیسیون ما کارهایی میکنه که تو بالیوود هم قفله ????,OTHER
ما را دچارِ عشقِ خودت کردی و سپس با یک نفس به عشق حُسینت دچارتر #شب_زیارتی,SAD
حسین صارمی: من گاز می‌شم می‌رم تو لوله‌ت گوز می‌شم می‌رم تو روده‌ت,OTHER
بیا خونه‌مون، گاز داریم نشونت بدم.,OTHER
جزوه ای ک من مینوییم جزوه ای ک دوستم مینویسه?‍♀️ ,HAPPY
کارکنان رسمی شاغل در شرکت نفت و گاز پارس عسلویه تجمع اعتراضی برگزار کردند,OTHER
افتضاح بود خیلی کوچیک به هیج دردی نمیخوره,ANGRY
این بازی خیلی خوب و هیجانیه حتما پیشنهاد میکنم,HAPPY
هافبک تیم ملی فوتبال سال ۲۰۶۰ نیاد به مجتبی وکالت بده.,OTHER
زونکنهای خوبی بود پیشنهاد میکنم,HAPPY
همه‌چیز عالی واقعا نسبت به قیمت عالی,HAPPY
گر جان من بخواهی، کردم حلال بر تو چیزی که دوست خواهد، بر ما حرام باشد,SAD
کاش صدا و سیما رو تعطیل میکردن ، کلی در مصرف گاز و بی‌شعوری همزمان صرفه جویی میشد,ANGRY
دارای کیفیت خوبی بود  و بوی خوبی داشت,HAPPY
نسبت به قیمتش کیفیتش باور نکردنیه.,HAPPY
رنگش مطابق عکسه و ماندگاریشم خوبه,HAPPY
 این نشون دهنده برد انقلاب ما نزد افکار عمومی و نماینده های پارلمان اروپاست.,OTHER
من استفاده کردم راضی ام میگیرم همیشه,HAPPY
اگر قبل اينکه دستشو لمس کنی عاشق روحش شده باشی اون عشق واقعیه :)?❤️,SAD
من با زلزله حال میکنم باید نماز شکر بخونم؟?,OTHER
فقط دوباره برای کرونا تعطیل بشه من بچه هام را می گذارم دم در,OTHER
کسی هم که دستور داد گاز ذخیره نشه حتما بابای من بوده ,OTHER
*Iran باآرزوی آزادی ایران وبهترینها برای شما ,HAPPY
کسی تو این ساعت آهنگ گوش میده؟ درحال گوش دادن چه آهنگی هستید؟ من: ,OTHER
 بنا به فرمایش امام راحل و رهبر انقلاب اسرا/ئیل رو به نابودی است و این یک وعده صادق است ...???,OTHER
اسرائیل هم به زودی میره تو اسقاطی ها #اعتراضات_سراسری_تلاویو ,OTHER
به هرگوشه که میچرخی فقط تاریک و سرده . #مهسا_امینی #اعتصابات_سراسری‌,SAD
در کل خوبه پشتیبانی هم بسیار عالی,HAPPY
"فقط مارک فیلیپس داره
کاملا فیک در حد درجه 5",ANGRY
ولی کاش امشب یا مقلب القلوب... نمی‌خوندین!,SAD
بعد از ۲ سال و ۳ ماه... #بورس #شاخص_کل ,OTHER
درش اصلا جالب نیست و بسته نمیشه,ANGRY
واقعا عالیه عالیه عالیه من که خیلیییییی خوشم اومد,HAPPY
بورس یجوری جذابِ سهماش که اصن پشم و پیل نمیمونه برا آدم..!,ANGRY
برای پوست خشک عالیه و حتما پیشنهاد میکنم,HAPPY
 خداییش قیافه این قرومساق کرکر خنده است???,HAPPY
دوست دارم برای تو با همه فرق کنم خودمو توی چشات یه تنه غرق کنم…,SAD
چند نفر این شکلی بازداشت، شکنجه و جریمه شدن ولی از ترس عواقب بدتر مجبورن سکوت کنن. #مهسا_امینی ,ANGRY
بعضیا هم هستن انقد انرژی مثبت و مهربونن و با درک و فهم هستن که آدم کیف می‌کنه از بودنشون ???,OTHER
من درازای پتو بودم ولی اون پتو رو از عرض کشید رو خودش,OTHER
دقیق همون موقعه ای که نباید،تنها ترین میشی.,SAD
کیفیتش خیلی بده و زود ترک میخوره,ANGRY
بلومبرگ: هزاران خانوار ایرانی بدون گاز در سرما ماندند ,OTHER
فک نمیکردم انقدر بد باشه،پیشنهاد اکید میکنم نخرید,ANGRY
حمله ی اضطرابی ساعت ۵ صبح رو کجای دلم بزارم,SAD
مثل دیوار ترک خورده پس از زلزله ها گاه دل ها ز سخن های کسی میشکند,SAD
نسبت به قیمتش خوبه در رنگهای مختلف,HAPPY
این دلقکا اون موقع که اعتصابات و اعتراضات بود از ترس قطع شدن جیرشون ساکت شده بودن.,ANGRY
بوی خوبی داره و به نظرم به قیمتش می ارزه,HAPPY
کشتی گرفتن محمدمهدی و پدرش رو دیدید؟ قلبم دو نیم شد...? #مهسا_امینی #محمدمهدی_کرمی #محمد_حسینی,SAD
خواهرم تازه یخچال خریده میگه خدایا لااقل بزار استفاده کنم یه مدت بعد بترکون. #زلزله,OTHER
ابعاد آن به هیچ عنوان به صفحه گوشی S7 نمیخورد.,ANGRY
یعنی در چند جبهه باس بجنگیم؟! یه ور ملا یه ور مجاهد یه ور سلطنت‌طلب!,OTHER
مدیررسانه سابق تیم شهرخودرو با انتشار یک استوری خبر از وقوع یک فاجعه برای فوتبال مشهد داده است... ,OTHER
اگر این‌بار شد وجدان خواب‌آلوده‌ات بیدار تفنگت را زمین بگذار... #مهسا_امینی ‌,SAD
هشدار زلزله همون سینما رکس، اوین... هست,OTHER
بچه های خوزستان چه خبر ؟ زلزله اومد ؟؟,FEAR
 از اینکه ۴۰ سال امریکا به ما لطف کرده و به ما حمله نکرده ممنونیم?,OTHER
